weight_config,w_err,w_tfp,w_rp_pen,algo_index,problem_statement,processing_status,processing_time,total_iterations,converged,v1_verdict,v2_verdict,overall_score,crs_final,err_final,rp_final,tfp_final,errors_fixed,errors_introduced,net_improvement,total_errors_v1,total_errors_final
werr0.20_wrp0.40,0.2,0.8,0.4,0,The algorithm maintains two sequences x_k and y_k. Update: y_k = x_k + beta_k(x_,COMPLETED,72.59,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,1,The algorithm maintains two sequences x_k and y_k. Update: y_k = x_k + beta_k(x_,COMPLETED,84.61,1,True,PASS_MINOR,PASS_MINOR,4,0.88,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,2,The algorithm maintains two sequences x_k and y_k. Update: y_k = x_k + beta_k(x_,COMPLETED,227.88,2,True,FAIL,PASS,5,1.0,1.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,3,"The algorithm updates parameters via x_{k+1} = argmin_x { <grad(f)(x_k), x> + (1",COMPLETED,68.87,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,4,"The algorithm updates parameters via x_{k+1} = argmin_x { <grad(f)(x_k), x> + (1",COMPLETED,64.41,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,5,The algorithm uses a double-loop structure. Outer loop updates full gradient. In,COMPLETED,123.77,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,6,The algorithm uses a double-loop structure. Outer loop updates full gradient. In,COMPLETED,63.9,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,7,The algorithm uses a double-loop structure. Outer loop updates full gradient. In,COMPLETED,180.2,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,8,The algorithm maintains a table of past gradients phi_i. Update: x_{k+1} = x_k -,COMPLETED,66.0,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,9,The algorithm maintains a table of past gradients phi_i. Update: x_{k+1} = x_k -,COMPLETED,107.09,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,10,The algorithm maintains a recursive variance estimator v_t = (1-alpha)v_{t-1} + ,COMPLETED,127.64,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,11,The algorithm maintains a recursive variance estimator v_t = (1-alpha)v_{t-1} + ,COMPLETED,60.46,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,12,The algorithm maintains exponential moving averages m_t and v_t. Update includes,COMPLETED,77.15,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,13,The algorithm maintains exponential moving averages m_t and v_t. Update includes,COMPLETED,129.25,1,False,FAIL,FAIL,2,0.4,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,14,The algorithm updates parameters using only the sign of the gradient: x_{k+1} = ,COMPLETED,58.03,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,15,The algorithm updates parameters using only the sign of the gradient: x_{k+1} = ,COMPLETED,201.84,2,True,FAIL,PASS,5,1.0,1.0,0.0,1.0,1,0,1,1,0
werr0.20_wrp0.40,0.2,0.8,0.4,16,The algorithm performs local SGD steps on K clients for E epochs before averagin,COMPLETED,98.83,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,17,The algorithm performs local SGD steps on K clients for E epochs before averagin,COMPLETED,135.57,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,18,The algorithm performs local SGD steps on K clients for E epochs. Clients minimi,COMPLETED,82.23,1,True,PASS_MINOR,PASS_MINOR,4,0.6,0.0,0.0,1.0,0,1,-1,1,1
werr0.20_wrp0.40,0.2,0.8,0.4,19,The algorithm performs local SGD steps on K clients for E epochs. Clients minimi,COMPLETED,286.56,2,True,CONDITIONAL,PASS,5,1.0,1.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,20,The algorithm updates x_{k+1} = prox_{eta*g}(x_k - eta * grad(f)(x_k)). Proof mu,COMPLETED,124.2,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,21,The algorithm updates x_{k+1} = prox_{eta*g}(x_k - eta * grad(f)(x_k)). Proof mu,COMPLETED,71.33,1,True,PASS_MINOR,PASS_MINOR,4,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,22,The algorithm updates x_{k+1} = prox_{eta*g}(x_k - eta * grad(f)(x_k)). Proof mu,COMPLETED,59.02,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,23,The algorithm updates x_{k+1} = prox_{eta*g}(x_k - eta * grad(f)(x_k)). Proof mu,COMPLETED,54.88,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.40,0.2,0.8,0.4,24,The algorithm updates x_{k+1} = prox_{eta*g}(x_k - eta * grad(f)(x_k)). Uses mom,COMPLETED,119.24,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
